Company_name,Field,Company_age,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
TCS,IT Services & Consulting ,56,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",731000,8569000,61000,847,115000
Cognizant,IT Services & Consulting ,30,3.9,Skill Development / Learning,Promotions / Appraisal,417000,5615000,36000,460,58000
Wipro,IT Services & Consulting ,79,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",392000,4274000,37000,405,5000
Capgemini,IT Services & Consulting ,57,3.9,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",34000,4144000,28000,719,4000
HDFC Bank,Banking ,30,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,339000,1323000,15000,335,32000
Infosys,IT Services & Consulting ,43,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",318000,462000,48000,11000,51000
HCLTech,IT Services & Consulting ,33,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",285000,2934000,25000,408,41000
Genpact,IT Services & Consulting ,27,3.9,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",262000,1904000,19000,782,37000
Concentrix Corporation,BPO ,41,3.9,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",218000,1054000,11000,127,33000
Jio,Telecom ,17,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,206000,673000,12000,168,26000
IBM,IT Services & Consulting ,113,4.1,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,197000,2215000,15000,4000,27000
Reliance Retail,Retail ,18,3.9,"Skill Development / Learning, Job Security",Promotions / Appraisal,187000,589000,11000,281,2000
HDB Financial Services,NBFC ,17,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,181000,505000,590,85,15000
Kotak Mahindra Bank,Banking ,21,3.8,Job Security,Promotions / Appraisal,142000,782000,738,222,13000
Reliance Industries,Oil & Gas ,47,4.1,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,137000,656000,932,40,19000
WNS,BPO ,28,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",97000,544000,716,131,14000
Ernst & Young,Management Consulting ,22,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",89000,124000,760,18000,13000
